#chr	start	stop
chr1	9375345	9376411
chr1	9470921	9471289
chr1	9473147	9473868
chr1	9477772	9477994
chr1	9486372	9486795
chr1	9488714	9489543
chr1	9555253	9555700
chr1	9593804	9594007
chr1	9599092	9600206
chr1	9619620	9619885
chr1	9648425	9649068
chr1	9675773	9676042
chr1	9687103	9687570
chr1	9689249	9690150
chr1	9711771	9712821
chr1	9714988	9715535
chr1	9730252	9731016
chr1	9747410	9747804
chr1	9749183	9749808
chr1	9765673	9765877
chr1	9777529	9778103
chr1	9788317	9789306
chr1	9805659	9805850
chr1	9831427	9831645
chr1	9844546	9844827
chr1	9847604	9848184
chr1	9860126	9860657
chr1	9883766	9884718
chr1	9885360	9885640
chr1	9910345	9910626
chr1	9927613	9927957
chr1	9935008	9935178
chr1	9954464	9954681
chr1	9955009	9955226
chr1	9963770	9964466
chr1	9970183	9971222
chr1	9985842	9986054
chr1	10002971	10003865
chr1	10010426	10010786
chr1	10015146	10015371
chr1	10054634	10055004
chr1	10072165	10072367
chr1	10079368	10079568
chr1	10086043	10086412
chr1	10092614	10093826
chr1	10134341	10134700
chr1	10178470	10178755
chr1	10219532	10219690
chr1	10226775	10226964
chr1	10230149	10230655
chr1	10243338	10243551
chr1	10269962	10270904
chr1	10296672	10296848
chr1	10299925	10300328
chr1	10311732	10312036
chr1	10343434	10343903
chr1	10419822	10420041
chr1	10458497	10459509
chr1	10477846	10478025
chr1	10490028	10491020
chr1	10523938	10524412
chr1	10532316	10532860
chr1	10534883	10535462
chr1	10554765	10555686
chr1	10567545	10567711
chr1	10570670	10571495
chr1	10585235	10585583
chr1	10585757	10586075
chr1	10753716	10754525
chr1	10754861	10755179
chr1	10816036	10816224
chr1	10846032	10846219
chr1	10927014	10927539
chr1	10964953	10965120
chr1	10969985	10970185
chr1	10978000	10978216
chr1	10982425	10982678
chr1	10992260	10992494
chr1	11000160	11000592
chr1	11021028	11021294
chr1	11072242	11073520
chr1	11097579	11097950
chr1	11119752	11120753
chr1	11150118	11150286
chr1	11159379	11160244
chr1	11242011	11242209
chr1	11301840	11302454
chr1	11306160	11306353
chr1	11322417	11323011
chr1	11333076	11334019
chr1	11340984	11341449
chr1	11351840	11352010
chr1	11360047	11360465
chr1	11397542	11397807
chr1	11434767	11434943
chr1	11441584	11441939
chr1	11467703	11467891
chr1	11538766	11539474
chr1	11582663	11582940
chr1	11701338	11701568
chr1	11702441	11702743
chr1	11714551	11715140
chr1	11724041	11724840
chr1	11740795	11741836
chr1	11771301	11771562
chr1	11779343	11780236
chr1	11795873	11796931
chr1	11809210	11809467
chr1	11822005	11822215
chr1	11865476	11866557
chr1	11898559	11898995
chr1	11954001	11954258
chr1	11967836	11969908
chr1	11986064	11986255
chr1	11986423	11986802
chr1	11994352	11995100
chr1	12039949	12040870
chr1	12079153	12079883
chr1	12100552	12101003
chr1	12107060	12107868
chr1	12119817	12120276
chr1	12128044	12128380
chr1	12128518	12129071
chr1	12139105	12139537
chr1	12148695	12149062
chr1	12178649	12178891
chr1	12184975	12185270
chr1	12187625	12187876
chr1	12192932	12193434
chr1	12203878	12204078
chr1	12210482	12211138
chr1	12217502	12218000
chr1	12221742	12222275
chr1	12226945	12227302
chr1	12233691	12234116
chr1	12237783	12238663
chr1	12239078	12239373
chr1	12270688	12270995
chr1	12289943	12290689
chr1	12356606	12356943
chr1	12404889	12406034
chr1	12445106	12445363
chr1	12446338	12446501
chr1	12467413	12467654
chr1	12474869	12475264
chr1	12494289	12494665
chr1	12495685	12496074
chr1	12498501	12498877
chr1	12509306	12510101
chr1	12532919	12533824
chr1	12541028	12541402
chr1	12562362	12562862
chr1	12570466	12571304
chr1	12577720	12577907
chr1	12620691	12620925
chr1	12635809	12636012
chr1	12664256	12664648
chr1	12678067	12679439
chr1	12679889	12680263
chr1	12711891	12712113
chr1	12746255	12746418
chr1	12800566	12800747
chr1	12969194	12969371
chr1	13029065	13029236
chr1	13051712	13051974
chr1	13197795	13198066
chr1	13218271	13219077
chr1	13344406	13344608
chr1	13498359	13498631
chr1	13700217	13700451
chr1	13719130	13719366
chr1	13755265	13755448
chr1	13798164	13798331
chr1	13934345	13934553
chr1	13980760	13981129
chr1	13992237	13992589
chr1	14026464	14027463
chr1	14029195	14029737
chr1	14052335	14052589
chr1	14057043	14057901
chr1	14075330	14076495
chr1	14093608	14093901
chr1	14098005	14098172
chr1	14121206	14121516
chr1	14122989	14123152
chr1	14248104	14248389
chr1	14254379	14254566
chr1	14289131	14289329
chr1	14502783	14503025
chr1	14564708	14564884
chr1	14596569	14596807
chr1	14709464	14709697
chr1	14860886	14861064
chr1	14955386	14955566
chr1	15052659	15052897
chr1	15058613	15058801
chr1	15160590	15160978
chr1	15225382	15225563
chr1	15426797	15427206
chr1	15438723	15438979
chr1	15455054	15455338
chr1	15462317	15462582
chr1	15558070	15558563
chr1	15558749	15558947
chr1	15565650	15565883
chr1	15573657	15573823
chr1	15575598	15575855
chr1	15631426	15631600
chr1	15649965	15650489
chr1	15686321	15686491
chr1	15692522	15692719
chr1	15735852	15736643
chr1	15744031	15744424
chr1	15757645	15757925
chr1	15799145	15799322
chr1	15804922	15805129
chr1	15850683	15851929
chr1	15852976	15853605
chr1	15869785	15869977
chr1	15881765	15881925
chr1	15898878	15899139
chr1	15905556	15906002
chr1	15911090	15911814
chr1	15921627	15922117
chr1	15929746	15930448
chr1	15943385	15944612
chr1	15997754	15997967
chr1	16007291	16007497
chr1	16010610	16010857
chr1	16011209	16011726
chr1	16023528	16024240
chr1	16067834	16068247
chr1	16107661	16107826
chr1	16118471	16118735
chr1	16129993	16130238
chr1	16142095	16142331
chr1	16160566	16162829
chr1	16173652	16175326
chr1	16176225	16176416
chr1	16206218	16206442
chr1	16209253	16209421
chr1	16245853	16246097
chr1	16275769	16276502
chr1	16276888	16277663
chr1	16290596	16291093
chr1	16291781	16293209
chr1	16301441	16303043
chr1	16339676	16339965
chr1	16382626	16382960
chr1	16400028	16400380
chr1	16405473	16405826
chr1	16427088	16427261
chr1	16481370	16481685
chr1	16488626	16489101
chr1	16494222	16494603
chr1	16514236	16514618
chr1	16525168	16525447
chr1	16532887	16533780
chr1	16543596	16544255
chr1	16562769	16563947
chr1	16570659	16571236
chr1	16678399	16679401
chr1	16693429	16694467
chr1	16716014	16716195
chr1	16747175	16747748
chr1	16766990	16767984
chr1	16802928	16803211
chr1	16825216	16826066
chr1	16839436	16840033
chr1	16842583	16842745
chr1	16860828	16861604
chr1	16870749	16871268
chr1	16891777	16892054
chr1	16892507	16893787
chr1	16907163	16907352
chr1	16918328	16918590
chr1	16927484	16927721
chr1	16939477	16940440
chr1	16947521	16947878
chr1	16970605	16971658
chr1	16983563	16983753
chr1	16992535	16993985
chr1	17003251	17003616
chr1	17004551	17004802
chr1	17011257	17011670
chr1	17029821	17030048
chr1	17034143	17034503
chr1	17036207	17036601
chr1	17053886	17054392
chr1	17054885	17055378
chr1	17066468	17067971
chr1	17076982	17077362
chr1	17082097	17082286
chr1	17086147	17086413
chr1	17123837	17124215
chr1	17189536	17189888
chr1	17199215	17200190
chr1	17215514	17216243
chr1	17221950	17223437
chr1	17230372	17232263
chr1	17240179	17241121
chr1	17278137	17278443
chr1	17287038	17287561
chr1	17338003	17338743
chr1	17372677	17372884
chr1	17380298	17381014
chr1	17445851	17446064
chr1	17452300	17452560
chr1	17483408	17483622
chr1	17528247	17528429
chr1	17534336	17534771
chr1	17563493	17563765
chr1	17627932	17628123
chr1	17642711	17642964
chr1	17662623	17662822
chr1	17692352	17692648
chr1	17732700	17732875
chr1	17746284	17746622
chr1	17764256	17765138
chr1	17765928	17766582
chr1	17772156	17772525
chr1	17781081	17781249
chr1	17804402	17804669
chr1	17814152	17814323
chr1	17820780	17821160
chr1	17831123	17831325
chr1	17980439	17980665
chr1	17988050	17988289
chr1	18110019	18110275
chr1	18297437	18297858
chr1	18365809	18366097
chr1	18396511	18396697
chr1	18404478	18404660
chr1	18884344	18884514
chr1	18916790	18916978
chr1	19022624	19022797
chr1	19133059	19133224
chr1	19210753	19211036
chr1	19220049	19220229
chr1	19228829	19229602
chr1	19233573	19233846
chr1	19239603	19239842
chr1	19253031	19254417
chr1	19260905	19261361
chr1	19274963	19275338
chr1	19278116	19278928
chr1	19282781	19283656
chr1	19292257	19292444
chr1	19294591	19294779
chr1	19299161	19299417
chr1	19329770	19330285
chr1	19337426	19338205
chr1	19400881	19401786
chr1	19450880	19451075
chr1	19496222	19496469
chr1	19506203	19506602
chr1	19512583	19512908
chr1	19535981	19537228
chr1	19567707	19568156
chr1	19577846	19578590
chr1	19583777	19584349
chr1	19590884	19591046
chr1	19615158	19615771
chr1	19638246	19639294
chr1	19662965	19663323
chr1	19668070	19668389
chr1	19704707	19705062
chr1	19717495	19718097
chr1	19734872	19735144
chr1	19759446	19759618
chr1	19762549	19762815
chr1	19775008	19775317
chr1	19786121	19786439
chr1	19789731	19790275
chr1	19794989	19795520
chr1	19803390	19804757
chr1	19811616	19812770
chr1	19852333	19852634
chr1	19908719	19909136
chr1	19922860	19924300
chr1	19932759	19932987
chr1	19933082	19933665
chr1	19970427	19970820
chr1	19980303	19980507
chr1	19986369	19986545
chr1	20014663	20015223
chr1	20037392	20038024
chr1	20042146	20042472
chr1	20058752	20058909
chr1	20125898	20127034
chr1	20156318	20156808
chr1	20185973	20186320
chr1	20190602	20190776
chr1	20208572	20209491
chr1	20220133	20220294
chr1	20244407	20244726
chr1	20385098	20385469
chr1	20478612	20479225
chr1	20497976	20498206
chr1	20511737	20512390
chr1	20512589	20513222
chr1	20539542	20539753
chr1	20575482	20576120
chr1	20648693	20649806
chr1	20685971	20686332
chr1	20703531	20703702
chr1	20753482	20753789
chr1	20756919	20757122
chr1	20820232	20820694
chr1	20822630	20823201
chr1	20833992	20835073
chr1	20839090	20839388
chr1	20848963	20849172
chr1	20863790	20864026
chr1	20886193	20886549
chr1	20901875	20902072
chr1	20959770	20961172
chr1	20966564	20966998
chr1	20987505	20988465
chr1	21023043	21023698
chr1	21044416	21044717
chr1	21058691	21058927
chr1	21059382	21060035
chr1	21112644	21114132
chr1	21135510	21135672
chr1	21159229	21159537
chr1	21258383	21259573
chr1	21301607	21301776
chr1	21318847	21319390
chr1	21336191	21336409
chr1	21348757	21349405
chr1	21406237	21406439
chr1	21420093	21420288
chr1	21503124	21503798
chr1	21543197	21543633
chr1	21545127	21545312
chr1	21559054	21559360
chr1	21596783	21597035
chr1	21619566	21621729
chr1	21650795	21651572
chr1	21656115	21656381
chr1	21660604	21661420
chr1	21669893	21670182
chr1	21671451	21672477
chr1	21695115	21695384
chr1	21716420	21716584
chr1	21766286	21767049
chr1	21767088	21767391
chr1	21793080	21793319
chr1	21882143	21882407
chr1	21907765	21907962
chr1	21985684	21986158
chr1	21995887	21996123
chr1	22062247	22062510
chr1	22092838	22093202
chr1	22093537	22093948
chr1	22106239	22106836
chr1	22108835	22110257
chr1	22124620	22124787
chr1	22140934	22141147
chr1	22263908	22264214
chr1	22272680	22272885
chr1	22283601	22284249
chr1	22290537	22290706
chr1	22345522	22345975
chr1	22350983	22352709
chr1	22357970	22358392
chr1	22366096	22366905
chr1	22374869	22375283
chr1	22378928	22380421
chr1	22415663	22415944
chr1	22418746	22419351
chr1	22431357	22431922
chr1	22458464	22458744
chr1	22709549	22709747
chr1	22743042	22743375
chr1	22755254	22755524
chr1	22778003	22779106
chr1	22947170	22947333
chr1	22968552	22968730
chr1	23000572	23000808
chr1	23030904	23031414
chr1	23265466	23265658
chr1	23277878	23278195
chr1	23345612	23346555
chr1	23383907	23384189
chr1	23397077	23397284
chr1	23425281	23425477
chr1	23429919	23430143
chr1	23435467	23435958
chr1	23437315	23437806
chr1	23445497	23446094
chr1	23451101	23451301
chr1	23474459	23474895
chr1	23494146	23494369
chr1	23494899	23495584
chr1	23504128	23504336
chr1	23511170	23511413
chr1	23543408	23543973
chr1	23558390	23558620
chr1	23629349	23629524
chr1	23669849	23671301
chr1	23694339	23695719
chr1	23713137	23713328
chr1	23730409	23730840
chr1	23748780	23749165
chr1	23751050	23751625
chr1	23788567	23788783
chr1	23810567	23811514
chr1	23823534	23823929
chr1	23854585	23855238
chr1	23857206	23857526
chr1	23857699	23858025
chr1	23866131	23866709
chr1	23881100	23881953
chr1	23885824	23886194
chr1	23893447	23893623
chr1	23898696	23898900
chr1	23903693	23904149
chr1	23927678	23927978
chr1	23928380	23929068
chr1	23938591	23938792
chr1	23939732	23940321
chr1	23945832	23946549
chr1	23953625	23954079
chr1	23954366	23954560
chr1	23961383	23961716
chr1	23963917	23964144
chr1	23969408	23969664
chr1	24001734	24001945
chr1	24017890	24018878
chr1	24030804	24031009
chr1	24033383	24033552
chr1	24047031	24047355
chr1	24049768	24049936
chr1	24069488	24070363
chr1	24098511	24099049
chr1	24104517	24105305
chr1	24110819	24110985
chr1	24117353	24117875
chr1	24126986	24127821
chr1	24136280	24136673
chr1	24151701	24152573
chr1	24164756	24165388
chr1	24194214	24195233
chr1	24231301	24231557
chr1	24244350	24245009
chr1	24262071	24262314
chr1	24267442	24267612
chr1	24280344	24280579
chr1	24285304	24286641
chr1	24291523	24291697
chr1	24306422	24307421
chr1	24343575	24343763
chr1	24371639	24372004
chr1	24397280	24397762
chr1	24476876	24477407
chr1	24513673	24514086
chr1	24518415	24518904
chr1	24525872	24526195
chr1	24562796	24563099
chr1	24629693	24629945
chr1	24636331	24636520
chr1	24648165	24649191
chr1	24678292	24678459
chr1	24678628	24678944
chr1	24691807	24692062
chr1	24710832	24711050
chr1	24711549	24712354
chr1	24717905	24719398
chr1	24719595	24719892
chr1	24739927	24740399
chr1	24741876	24742689
chr1	24743388	24743671
chr1	24807659	24807897
chr1	24808049	24808684
chr1	24812882	24813377
chr1	24814685	24815030
chr1	24820194	24820362
chr1	24827902	24829994
chr1	24833201	24833724
chr1	24861406	24862004
chr1	24863014	24863389
chr1	24866316	24867041
chr1	24867631	24867855
chr1	24882218	24882627
chr1	24913638	24914102
chr1	24919300	24919616
chr1	24945131	24945464
chr1	24961765	24961974
chr1	24968838	24970190
chr1	25002770	25002992
chr1	25048781	25048984
chr1	25058239	25058437
chr1	25071375	25072442
chr1	25082447	25082629
chr1	25107452	25107653
chr1	25139779	25139995
chr1	25159873	25160118
chr1	25174354	25175263
chr1	25224768	25224982
chr1	25237442	25237984
chr1	25246862	25247233
chr1	25251607	25251894
chr1	25255587	25255838
chr1	25256010	25256491
chr1	25256763	25257196
chr1	25281326	25281945
chr1	25291433	25291986
chr1	25293180	25293424
chr1	25307985	25308401
chr1	25319184	25319525
chr1	25330087	25330390
chr1	25348831	25349696
chr1	25356981	25359227
chr1	25363796	25364065
chr1	25385977	25386572
chr1	25428066	25428384
chr1	25444489	25444708
chr1	25445002	25445218
chr1	25475193	25475616
chr1	25511254	25511423
chr1	25531326	25531572
chr1	25558543	25559824
chr1	25566000	25566924
chr1	25572881	25574477
chr1	25593617	25594682
chr1	25616698	25616963
chr1	25631962	25632219
chr1	25654286	25654703
chr1	25663732	25665385
chr1	25689729	25690056
chr1	25723590	25723768
chr1	25729294	25729659
chr1	25756489	25757792
chr1	25774106	25774313
chr1	25800189	25800539
chr1	25801194	25801388
chr1	25830441	25830627
chr1	25836562	25836956
chr1	25837659	25837829
chr1	25846930	25847493
chr1	25869784	25870650
chr1	25876010	25876674
chr1	25888690	25889530
chr1	25891905	25892218
chr1	25935040	25935318
chr1	25942319	25942479
chr1	25942715	25943841
chr1	25955574	25956293
chr1	25968779	25969623
chr1	26002260	26003198
chr1	26022462	26022673
chr1	26024363	26024679
chr1	26030809	26031083
chr1	26057308	26057562
chr1	26081353	26081559
chr1	26101221	26102126
chr1	26122582	26122837
chr1	26122916	26123582
chr1	26146174	26146858
chr1	26146969	26147737
chr1	26185650	26186686
chr1	26201749	26202385
chr1	26221839	26222307
chr1	26231590	26233503
chr1	26249091	26249570
chr1	26263906	26264063
chr1	26264532	26264746
chr1	26297574	26298462
chr1	26316949	26317813
chr1	26324255	26325225
chr1	26361809	26362799
chr1	26379018	26379221
chr1	26431422	26431637
chr1	26437438	26438740
chr1	26449795	26450140
chr1	26452861	26453498
chr1	26471663	26472034
chr1	26490688	26491071
chr1	26496218	26496847
chr1	26527933	26528116
chr1	26528412	26528734
chr1	26560278	26561553
chr1	26602153	26603016
chr1	26606208	26606643
chr1	26611176	26611726
chr1	26613809	26614187
chr1	26615217	26615407
chr1	26632829	26634243
chr1	26634977	26635262
chr1	26644115	26644796
chr1	26645936	26646185
chr1	26647924	26648267
chr1	26662788	26663383
chr1	26685382	26685735
chr1	26690303	26690595
chr1	26699641	26699983
chr1	26704723	26705251
chr1	26718065	26718298
chr1	26722691	26723315
chr1	26743446	26743944
chr1	26758328	26759231
chr1	26798400	26800027
chr1	26826694	26827915
chr1	26856031	26856625
chr1	26868411	26868985
chr1	26871997	26872523
chr1	26907333	26907719
chr1	26909254	26909615
chr1	26920979	26921140
chr1	26940121	26940297
chr1	26946625	26948040
chr1	26956349	26956514
chr1	26986057	26986310
chr1	26992149	26992334
chr1	27004037	27004355
chr1	27018797	27019765
chr1	27021940	27022693
chr1	27023417	27024011
chr1	27024545	27024942
chr1	27029261	27029468
chr1	27048269	27048627
chr1	27050108	27050272
chr1	27065647	27066159
chr1	27070360	27071354
chr1	27083760	27083950
chr1	27098131	27098345
chr1	27113430	27114892
chr1	27115469	27115861
chr1	27116696	27117259
chr1	27126513	27126890
chr1	27136620	27136840
chr1	27147328	27147690
chr1	27152886	27153246
chr1	27159878	27160450
chr1	27165239	27165666
chr1	27170612	27170776
chr1	27191057	27192619
chr1	27204348	27204687
chr1	27216323	27217177
chr1	27226190	27227273
chr1	27247809	27248565
chr1	27261349	27261609
chr1	27286510	27287271
chr1	27319996	27320314
chr1	27320515	27320697
chr1	27324250	27324534
chr1	27339311	27339865
chr1	27371130	27371601
chr1	27406391	27406567
chr1	27418329	27418566
chr1	27423994	27424266
chr1	27429160	27429589
chr1	27438532	27438931
chr1	27455180	27455345
chr1	27463551	27464198
chr1	27481258	27482232
chr1	27488082	27488426
chr1	27515042	27515222
chr1	27524381	27524852
chr1	27560293	27561489
chr1	27579234	27579707
chr1	27584994	27585275
chr1	27594979	27595429
chr1	27611227	27611556
chr1	27627226	27627539
chr1	27635540	27635723
chr1	27648405	27649097
chr1	27668132	27669270
chr1	27669483	27670475
chr1	27683877	27684264
chr1	27686726	27686892
chr1	27691886	27692936
chr1	27718687	27719304
chr1	27721955	27722123
chr1	27729668	27729835
chr1	27744919	27745179
chr1	27755349	27755896
chr1	27757566	27757885
chr1	27763145	27763459
chr1	27771085	27771413
chr1	27771735	27772382
chr1	27787386	27787628
chr1	27808545	27808706
chr1	27816074	27817185
chr1	27822763	27822930
chr1	27834885	27835059
chr1	27847985	27848252
chr1	27848535	27849848
chr1	27854628	27854875
chr1	27883149	27883475
chr1	27894705	27895482
chr1	27930245	27930838
chr1	27935222	27935680
chr1	27944901	27945239
chr1	27960703	27960948
chr1	27963247	27963794
chr1	27970358	27970815
chr1	27985822	27986778
chr1	27989356	27989936
chr1	27995759	27996098
chr1	27998435	27999069
chr1	28036384	28036610
chr1	28051909	28052953
chr1	28091645	28091940
chr1	28099294	28100279
chr1	28100288	28100457
chr1	28106396	28106567
chr1	28147129	28147611
chr1	28156763	28157963
chr1	28164193	28164589
chr1	28184527	28185100
chr1	28195668	28196142
chr1	28198863	28199415
chr1	28199739	28200023
chr1	28207768	28208048
chr1	28213463	28214131
chr1	28217909	28218253
chr1	28226313	28226706
chr1	28239040	28239206
chr1	28240682	28241563
chr1	28269936	28270177
chr1	28286062	28286831
chr1	28302961	28303283
chr1	28306090	28306526
